timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1,71978E+12;76;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-1;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;76;0;2
1,71978E+12;72;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-2;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;72;0;3
1,71978E+12;70;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-3;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;70;0;1
1,71978E+12;76;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-4;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;76;0;0
1,71978E+12;75;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-5;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;75;0;0
1,71978E+12;74;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-6;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;74;0;0
1,71978E+12;74;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-7;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;74;0;0
1,71978E+12;84;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-8;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;84;0;1
1,71978E+12;76;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-10;text;true;;483;155;3;3;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;76;0;1
1,71978E+12;75;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-9;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;75;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-11;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;73;0;0
1,71978E+12;73;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-12;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;73;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-13;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;71;0;1
1,71978E+12;68;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-14;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;68;0;1
1,71978E+12;70;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-15;text;true;;485;155;1;1;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;70;0;1
1,71978E+12;73;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-16;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;73;0;0
1,71978E+12;71;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-17;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;71;0;1
1,71978E+12;70;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-18;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;70;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-19;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;71;0;1
1,71978E+12;70;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-21;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;70;0;1
1,71978E+12;72;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-20;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;72;0;0
1,71978E+12;67;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-22;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;67;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-23;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;71;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-24;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;71;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-25;text;true;;485;155;3;3;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;71;0;1
1,71978E+12;70;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-26;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;70;0;0
1,71978E+12;71;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-27;text;false;;306;155;1;1;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;71;0;0
1,71978E+12;72;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-28;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;72;0;1
1,71978E+12;71;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-29;text;true;;483;155;2;2;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;71;0;0
1,71978E+12;69;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-30;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;69;0;1
1,71978E+12;69;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-31;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;69;0;0
1,71978E+12;70;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-32;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;70;0;0
1,71978E+12;61;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-33;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;61;0;0
1,71978E+12;62;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-34;text;true;;483;155;1;1;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;62;0;1
1,71978E+12;70;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-35;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;70;0;1
1,71978E+12;70;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-36;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;70;0;0
1,71978E+12;72;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-37;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;72;0;0
1,71978E+12;71;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-38;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;71;0;0
1,71978E+12;71;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-39;text;true;;483;155;1;1;http://localhost:5000/record/getHora/?id=6625bffc145a7c4bf9360bbf;71;0;0
1,71978E+12;71;Prueba Carga Horas  registradas (GET);200;OK;Consulta de Hora Por ID 1-40;text;true;;485;155;2;2;http://localhost:5000/record/getHora/?id=6625d9a32c2950f1cb827f98;71;0;0
1,71978E+12;66;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-41;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41278ccd1c959709ff6;66;0;0
1,71978E+12;76;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-42;text;false;;306;155;2;2;http://localhost:5000/record/getHora/?id=6625b41c78ccd1c959709ff9;76;0;1
1,71978E+12;69;Prueba Carga Horas  registradas (GET);404;Not Found;Consulta de Hora Por ID 1-43;text;false;;306;155;3;3;http://localhost:5000/record/getHora/?id=6625b42978ccd1c959709ffc;69;0;0
